[?1034hTDR Style initialized
Getting L3 for AK4
Getting L2 for AK4
Getting L1 for AK4
Getting L3 for AK8
Getting L2 for AK8
Getting L1 for AK8
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_1.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_2.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_3.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_4.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_5.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_6.root
Processing file /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_1.root
   Lepton2 pt =  55.03, y =   1.03, phi =  -1.24, m =   0.14
   bJetCandP4 pt = 367.26, y =   1.14, phi =  -1.20, m =  66.90
   bJetCand2P4 pt = 367.26, y =   1.14, phi =  -1.20, m =  66.90
   nuCandP4 pt = 124.57, y =   0.00, phi =  -1.31, m =   0.03
   Lepton1 pt = 113.64, y =  -0.98, phi =   1.68, m =   0.03
   Lepton2 pt =  89.65, y =   1.62, phi =  -1.98, m =   0.07
   bJetCandP4 pt =  50.09, y =  -0.29, phi =   1.23, m =  13.44
   bJetCand2P4 pt =  40.72, y =  -1.10, phi =   0.37, m =   8.06
   nuCandP4 pt =  30.80, y =   0.00, phi =  -2.01, m =  -0.01
   Lepton1 pt = 160.77, y =  -0.28, phi =   2.47, m =   0.14
   Lepton2 pt =  84.10, y =  -0.39, phi =   2.25, m =   0.14
   bJetCandP4 pt = 497.25, y =  -0.42, phi =   2.29, m =  86.94
   bJetCand2P4 pt = 497.25, y =  -0.42, phi =   2.29, m =  86.94
   nuCandP4 pt =  70.11, y =   0.00, phi =   2.37, m =   0.01
    ---> Event 11000
   Lepton1 pt =  30.85, y =  -0.01, phi =  -1.49, m =   0.14
   Lepton2 pt =  30.04, y =   0.02, phi =  -1.52, m =   0.14
   bJetCandP4 pt = 830.38, y =  -0.09, phi =  -1.75, m = 110.65
   bJetCand2P4 pt = 830.38, y =  -0.09, phi =  -1.75, m = 110.65
   nuCandP4 pt = 255.71, y =   0.00, phi =  -1.69, m =   0.03
   Lepton1 pt = 145.43, y =   0.84, phi =  -1.13, m =  -0.03
   Lepton2 pt =  32.21, y =  -0.77, phi =   1.35, m =   0.01
   bJetCandP4 pt = 102.58, y =   0.49, phi =  -0.26, m =  12.24
   bJetCand2P4 pt = 246.73, y =  -0.20, phi =   2.45, m =  19.77
   nuCandP4 pt =  79.60, y =   0.00, phi =   0.28, m =  -0.02
   Lepton1 pt =  58.17, y =   0.70, phi =   0.50, m =   0.14
   Lepton2 pt =  42.13, y =   0.68, phi =   0.48, m =   0.14
   bJetCandP4 pt = 1152.41, y =   0.63, phi =   0.33, m = 144.51
   bJetCand2P4 pt = 1152.41, y =   0.63, phi =   0.33, m = 144.51
   nuCandP4 pt = 259.02, y =   0.00, phi =   0.47, m =  -0.04
   Lepton1 pt = 106.44, y =  -0.34, phi =   1.64, m =   0.14
   Lepton2 pt =  44.12, y =  -0.33, phi =   1.61, m =   0.14
   bJetCandP4 pt = 823.38, y =  -0.41, phi =   1.56, m = 128.35
   bJetCand2P4 pt = 823.38, y =  -0.41, phi =   1.56, m = 128.35
   nuCandP4 pt = 389.12, y =   0.00, phi =   1.62, m =   0.06
    ---> Event 12000
   Lepton1 pt = 200.64, y =  -1.80, phi =   0.57, m =   0.14
   Lepton2 pt =  67.80, y =  -1.56, phi =   0.23, m =   0.14
   bJetCandP4 pt = 502.72, y =  -1.80, phi =   0.43, m = 102.95
   bJetCand2P4 pt = 502.72, y =  -1.80, phi =   0.43, m = 102.95
   nuCandP4 pt =  65.62, y =   0.00, phi =   0.35, m =  -0.02
   Lepton1 pt = 110.05, y =   0.42, phi =  -0.61, m =   0.14
   Lepton2 pt =  72.91, y =   0.33, phi =  -0.45, m =   0.14
   bJetCandP4 pt = 777.38, y =   0.27, phi =  -0.55, m =  64.92
   bJetCand2P4 pt = 777.38, y =   0.27, phi =  -0.55, m =  64.92
   nuCandP4 pt = 103.93, y =   0.00, phi =  -0.57, m =  -0.02
   Lepton1 pt =  46.84, y =   0.33, phi =   2.67, m =   0.14
   Lepton2 pt =  46.08, y =   0.34, phi =   2.37, m =   0.14
   bJetCandP4 pt = 1031.60, y =   0.33, phi =   2.46, m = 134.79
   bJetCand2P4 pt = 1031.60, y =   0.33, phi =   2.46, m = 134.79
   nuCandP4 pt = 236.85, y =   0.00, phi =   2.49, m =   0.03
   Lepton1 pt = 532.84, y =   0.84, phi =  -0.90, m =   0.14
   Lepton2 pt = 103.95, y =   1.08, phi =  -0.76, m =   0.14
   bJetCandP4 pt = 424.56, y =   0.90, phi =  -0.88, m =  60.39
   bJetCand2P4 pt = 424.56, y =   0.90, phi =  -0.88, m =  60.39
   nuCandP4 pt = 151.45, y =   0.00, phi =  -0.37, m =   0.03
    ---> Event 13000
   Lepton1 pt =  50.46, y =  -0.97, phi =   0.12, m =  -0.02
   Lepton2 pt =  41.39, y =  -0.08, phi =   0.87, m =  -0.01
   bJetCandP4 pt = 269.05, y =  -0.36, phi =  -0.28, m =  48.22
   bJetCand2P4 pt = 483.01, y =   0.30, phi =   1.22, m =  17.70
   nuCandP4 pt = 381.76, y =   0.00, phi =   0.09, m =   0.07
   Lepton1 pt =  34.73, y =  -0.72, phi =  -2.89, m =   0.14
   Lepton2 pt =  30.67, y =  -1.59, phi =  -2.78, m =   0.14
   bJetCandP4 pt = 656.78, y =  -0.51, phi =  -2.92, m =  91.23
   bJetCand2P4 pt = 656.78, y =  -0.51, phi =  -2.92, m =  91.23
   nuCandP4 pt = 267.66, y =   0.00, phi =  -2.49, m =  -0.04
   Lepton1 pt =  36.64, y =   1.56, phi =   2.19, m =   0.14
   Lepton2 pt =  35.87, y =   1.53, phi =   2.18, m =   0.14
