[?1034hTDR Style initialized
Getting L3 for AK4
Getting L2 for AK4
Getting L1 for AK4
Getting L3 for AK8
Getting L2 for AK8
Getting L1 for AK8
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_2.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_3.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_4.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_5.root
Processing file /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
   nuCandP4 pt =  84.90, y =   0.00, phi =   2.46, m =   0.02
   Lepton1 pt =  83.30, y =  -0.77, phi =   1.23, m =   0.14
   Lepton2 pt =  47.16, y =  -0.23, phi =  -2.78, m =   0.02
   bJetCandP4 pt = 353.56, y =  -1.11, phi =   0.70, m =  43.02
   bJetCand2P4 pt = 185.97, y =  -0.64, phi =  -2.52, m =  16.25
   nuCandP4 pt = 262.24, y =   0.00, phi =   0.95, m =   0.04
    ---> Event 7000
   Lepton1 pt =  94.10, y =  -0.79, phi =   0.79, m =   0.14
   Lepton2 pt =  36.97, y =  -1.06, phi =   0.61, m =   0.14
   bJetCandP4 pt = 487.41, y =  -0.94, phi =   0.60, m = 109.80
   bJetCand2P4 pt = 487.41, y =  -0.94, phi =   0.60, m = 109.80
   nuCandP4 pt = 205.27, y =   0.00, phi =   0.81, m =  -0.01
   Lepton1 pt = 282.41, y =  -0.77, phi =  -1.37, m =   0.05
   Lepton2 pt = 203.95, y =   0.21, phi =   1.60, m =  -0.04
   bJetCandP4 pt = 156.10, y =  -0.50, phi =  -1.33, m =  36.80
   bJetCand2P4 pt =  58.41, y =   0.76, phi =   2.39, m =   9.37
   nuCandP4 pt = 119.14, y =   0.00, phi =   2.37, m =  -0.01
   Lepton1 pt =  33.61, y =   1.40, phi =  -1.62, m =   0.14
   Lepton2 pt =  55.97, y =   1.59, phi =  -2.31, m =  -0.05
   bJetCandP4 pt = 286.69, y =   1.52, phi =  -1.61, m =  29.39
   bJetCand2P4 pt = 286.69, y =   1.52, phi =  -1.61, m =  29.39
   nuCandP4 pt =  32.97, y =   0.00, phi =  -2.51, m =  -0.01
   Lepton1 pt = 267.54, y =  -1.06, phi =   0.40, m =   0.09
   Lepton2 pt = 173.53, y =  -1.34, phi =  -2.25, m =   0.07
   bJetCandP4 pt = 226.46, y =  -0.85, phi =   0.24, m =  26.32
   bJetCand2P4 pt = 140.17, y =  -0.61, phi =  -2.58, m =  20.61
   nuCandP4 pt = 141.31, y =   0.00, phi =  -0.59, m =   0.02
   Lepton1 pt =  34.89, y =   1.54, phi =   0.23, m =   0.14
   Lepton2 pt =  37.97, y =   0.86, phi =  -0.03, m =   0.01
   bJetCandP4 pt = 134.10, y =   1.43, phi =   0.46, m =  28.23
   bJetCand2P4 pt = 134.10, y =   1.43, phi =   0.46, m =  28.23
   nuCandP4 pt = 100.18, y =   0.00, phi =  -1.99, m =  -0.02
   Lepton1 pt =  48.82, y =  -0.56, phi =  -1.04, m =   0.14
   Lepton2 pt =  48.43, y =   1.34, phi =   2.50, m =   0.14
   bJetCandP4 pt =  31.57, y =  -1.52, phi =  -0.95, m =   8.20
   bJetCand2P4 pt = 222.52, y =   0.86, phi =   1.76, m =  18.71
