[?1034hTDR Style initialized
Getting L3 for AK4
Getting L2 for AK4
Getting L1 for AK4
Getting L3 for AK8
Getting L2 for AK8
Getting L1 for AK8
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_2.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_3.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_4.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_5.root
Processing file /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
   hadTopCandP4 pt = 787.83, y =  -1.05, phi =  -2.31, m = 210.90
   nuCandP4 pt = 219.77, y =    nan, phi =  -2.50, m = -243.85
   theLepton pt = 134.03, y =   0.01, phi =   1.57, m =   0.14
   bJetCandP4 pt = 492.88, y =   0.11, phi =   1.38, m =  40.59
   hadTopCandP4 pt = 921.12, y =  -0.01, phi =   1.63, m = 341.00
   nuCandP4 pt =  45.34, y =  -0.00, phi =  -1.55, m =  -0.16
   theLepton pt =  79.23, y =  -0.53, phi =  -1.19, m =   0.14
   bJetCandP4 pt = 719.63, y =  -0.46, phi =  -1.18, m =  82.53
   hadTopCandP4 pt = 882.52, y =  -0.50, phi =  -1.16, m = 177.99
   nuCandP4 pt =  73.66, y =   0.25, phi =   2.09, m = -17.73
   theLepton pt = 206.75, y =  -0.27, phi =   2.38, m =   0.03
   bJetCandP4 pt = 161.40, y =  -0.73, phi =   2.71, m =  12.58
   hadTopCandP4 pt = 502.30, y =  -0.37, phi =   0.61, m = 204.43
   nuCandP4 pt = 132.05, y =  -0.10, phi =   1.92, m = -12.92
    ---> Event 4000
   theLepton pt =  73.73, y =  -0.68, phi =   2.22, m =   0.14
   bJetCandP4 pt = 544.94, y =  -0.82, phi =   2.21, m =  97.75
   hadTopCandP4 pt = 702.75, y =  -0.80, phi =   2.26, m = 164.52
   nuCandP4 pt = 289.66, y =  -0.17, phi =   2.39, m = -48.56
   theLepton pt = 221.44, y =  -0.15, phi =  -1.42, m =  -0.07
   bJetCandP4 pt = 156.22, y =   0.29, phi =  -1.09, m =  14.47
   hadTopCandP4 pt = 442.70, y =  -0.04, phi =  -1.27, m = 160.37
   nuCandP4 pt =  88.01, y =   0.26, phi =  -1.84, m = -22.70
   theLepton pt = 159.54, y =  -1.38, phi =  -1.13, m =   0.14
   bJetCandP4 pt = 268.97, y =  -1.01, phi =  -1.39, m =  30.14
   hadTopCandP4 pt = 482.82, y =  -1.15, phi =  -1.31, m = 155.16
   nuCandP4 pt = 450.69, y =    nan, phi =  -1.41, m = -731.62
   theLepton pt =  34.94, y =   1.28, phi =   1.59, m =   0.14
   bJetCandP4 pt = 429.87, y =   1.26, phi =   1.67, m =  66.32
